"ID","CNword","BH"
1,"一",1
2,"丨",1
3,"丶",1
4,"丿",1
5,"乀",1
6,"乁",1
7,"乙",1
8,"乚",1
9,"乛",1
10,"亅",1
11,"丁",2
12,"丂",2
13,"七",2
14,"丄",2
15,"丅",2
16,"丆",2
17,"丩",2
18,"丷",2
19,"乂",2
20,"乃",2
21,"乄",2
22,"乜",2
23,"九",2
24,"了",2
25,"二",2
26,"亠",2
27,"人",2
28,"亻",2
29,"儿",2
30,"入",2
31,"八",2
32,"冂",2
33,"冖",2
34,"冫",2
35,"几",2
36,"凵",2
37,"刀",2
38,"刁",2
39,"刂",2
40,"力",2
41,"勹",2
42,"匕",2
43,"匚",2
44,"匸",2
45,"十",2
46,"卜",2
47,"卩",2
48,"厂",2
49,"厶",2
50,"又",2
51,"巜",2
52,"廴",2
53,"讠",2
54,"阝",2
55,"万",3
56,"丈",3
57,"三",3
58,"上",3
59,"下",3
60,"丌",3
61,"个",3
62,"丫",3
63,"丬",3
64,"丸",3
65,"久",3
66,"乆",3
67,"乇",3
68,"么",3
69,"义",3
70,"乊",3
71,"乞",3
72,"也",3
73,"习",3
74,"乡",3
75,"亇",3
76,"亍",3
77,"于",3
78,"亏",3
79,"亐",3
80,"亡",3
81,"亼",3
82,"亽",3
83,"亾",3
84,"亿",3
85,"兀",3
86,"兦",3
87,"凡",3
88,"凢",3
89,"凣",3
90,"刃",3
91,"刄",3
92,"劜",3
93,"勺",3
94,"卂",3
95,"千",3
96,"卄",3
97,"卪",3
98,"卫",3
99,"叉",3
100,"口",3
101,"囗",3
102,"土",3
103,"士",3
104,"夂",3
105,"夊",3
106,"夕",3
107,"大",3
108,"女",3
109,"子",3
110,"孑",3
111,"孒",3
112,"孓",3
113,"宀",3
114,"寸",3
115,"小",3
116,"尢",3
117,"尣",3
118,"尸",3
119,"屮",3
120,"山",3
121,"巛",3
122,"川",3
123,"工",3
124,"己",3
125,"已",3
126,"巳",3
127,"巾",3
128,"干",3
129,"幺",3
130,"广",3
131,"廾",3
132,"弋",3
133,"弓",3
134,"彐",3
135,"彑",3
136,"彡",3
137,"彳",3
138,"忄",3
139,"才",3
140,"氵",3
141,"犭",3
142,"纟",3
143,"艹",3
144,"辶",3
145,"门",3
146,"飞",3
147,"饣",3
148,"马",3
149,"不",4
150,"与",4
151,"丏",4
152,"丐",4
153,"丑",4
154,"丒",4
155,"专",4
156,"中",4
157,"丮",4
158,"丯",4
159,"丰",4
160,"丹",4
161,"为",4
162,"之",4
163,"乌",4
164,"乢",4
165,"乣",4
166,"乤",4
167,"乥",4
168,"书",4
169,"予",4
170,"云",4
171,"互",4
172,"亓",4
173,"五",4
174,"井",4
175,"亖",4
176,"亢",4
177,"亣",4
178,"什",4
179,"仁",4
180,"仂",4
181,"仃",4
182,"仄",4
183,"仅",4
184,"仆",4
185,"仇",4
186,"仈",4
187,"仉",4
188,"今",4
189,"介",4
190,"仌",4
191,"仍",4
192,"从",4
193,"仏",4
194,"仐",4
195,"仑",4
196,"仒",4
197,"仓",4
198,"允",4
199,"兂",4
200,"元",4
201,"內",4
202,"公",4
203,"六",4
204,"兮",4
205,"兯",4
206,"冃",4
207,"冄",4
208,"内",4
209,"円",4
210,"冇",4
211,"冈",4
212,"冗",4
213,"冘",4
214,"凤",4
215,"凶",4
216,"刅",4
217,"分",4
218,"切",4
219,"刈",4
220,"劝",4
221,"办",4
222,"勻",4
223,"勼",4
224,"勽",4
225,"勾",4
226,"勿",4
227,"匀",4
228,"匁",4
229,"匂",4
230,"化",4
231,"匹",4
232,"区",4
233,"卅",4
234,"卆",4
235,"升",4
236,"午",4
237,"卍",4
238,"卐",4
239,"卝",4
240,"卞",4
241,"卬",4
242,"厃",4
243,"厄",4
244,"厅",4
245,"历",4
246,"厷",4
247,"厸",4
248,"厹",4
249,"及",4
250,"友",4
251,"双",4
252,"反",4
253,"収",4
254,"圠",4
255,"圡",4
256,"壬",4
257,"夨",4
258,"天",4
259,"太",4
260,"夫",4
261,"夬",4
262,"夭",4
263,"孔",4
264,"尐",4
265,"少",4
266,"尤",4
267,"尹",4
268,"尺",4
269,"屯",4
270,"屲",4
271,"巴",4
272,"巿",4
273,"帀",4
274,"币",4
275,"幻",4
276,"廿",4
277,"开",4
278,"弌",4
279,"弔",4
280,"引",4
281,"弖",4
282,"心",4
283,"忆",4
284,"戈",4
285,"戶",4
286,"户",4
287,"戸",4
288,"手",4
289,"扌",4
290,"扎",4
291,"支",4
292,"攴",4
293,"攵",4
294,"文",4
295,"斗",4
296,"斤",4
297,"方",4
298,"无",4
299,"旡",4
300,"日",4
301,"曰",4
302,"月",4
303,"木",4
304,"朩",4
305,"欠",4
306,"止",4
307,"歹",4
308,"歺",4
309,"殳",4
310,"毋",4
311,"毌",4
312,"比",4
313,"毛",4
314,"氏",4
315,"气",4
316,"水",4
317,"火",4
318,"灬",4
319,"爪",4
320,"爫",4
321,"父",4
322,"爻",4
323,"爿",4
324,"片",4
325,"牙",4
326,"牛",4
327,"牜",4
328,"犬",4
329,"王",4
330,"瓦",4
331,"礻",4
332,"禸",4
333,"罓",4
334,"耂",4
335,"肀",4
336,"艺",4
337,"见",4
338,"计",4
339,"订",4
340,"讣",4
341,"认",4
342,"讥",4
343,"贝",4
344,"车",4
345,"辷",4
346,"邒",4
347,"邓",4
348,"长",4
349,"闩",4
350,"阞",4
351,"队",4
352,"韦",4
353,"风",4
354,"且",5
355,"丕",5
356,"世",5
357,"丗",5
358,"丘",5
359,"丙",5
360,"业",5
361,"丛",5
362,"东",5
363,"丝",5
364,"丱",5
365,"主",5
366,"丼",5
367,"乍",5
368,"乎",5
369,"乏",5
370,"乐",5
371,"乧",5
372,"乬",5
373,"亗",5
374,"仔",5
375,"仕",5
376,"他",5
377,"仗",5
378,"付",5
379,"仙",5
380,"仚",5
381,"仛",5
382,"仜",5
383,"仝",5
384,"仞",5
385,"仟",5
386,"仠",5
387,"仡",5
388,"仢",5
389,"代",5
390,"令",5
391,"以",5
392,"仦",5
393,"仧",5
394,"仨",5
395,"仩",5
396,"仪",5
397,"仫",5
398,"们",5
399,"仭",5
400,"仮",5
401,"仺",5
402,"兄",5
403,"兰",5
404,"冉",5
405,"冊",5
406,"冋",5
407,"册",5
408,"冎",5
409,"写",5
410,"冚",5
411,"冬",5
412,"冭",5
413,"冮",5
414,"冯",5
415,"凥",5
416,"処",5
417,"凧",5
418,"凷",5
419,"凸",5
420,"凹",5
421,"出",5
422,"击",5
423,"刉",5
424,"刊",5
425,"刋",5
426,"刌",5
427,"刍",5
428,"功",5
429,"加",5
430,"务",5
431,"劢",5
432,"匃",5
433,"匄",5
434,"包",5
435,"匆",5
436,"匇",5
437,"北",5
438,"匛",5
439,"匜",5
440,"匝",5
441,"匞",5
442,"卉",5
443,"半",5
444,"卌",5
445,"卟",5
446,"占",5
447,"卡",5
448,"卢",5
449,"卭",5
450,"卮",5
451,"卯",5
452,"厇",5
453,"厈",5
454,"厉",5
455,"厺",5
456,"去",5
457,"厼",5
458,"叏",5
459,"叐",5
460,"发",5
461,"古",5
462,"句",5
463,"另",5
464,"叧",5
465,"叨",5
466,"叩",5
467,"只",5
468,"叫",5
469,"召",5
470,"叭",5
471,"叮",5
472,"可",5
473,"台",5
474,"叱",5
475,"史",5
476,"右",5
477,"叴",5
478,"叵",5
479,"叶",5
480,"号",5
481,"司",5
482,"叹",5
483,"叺",5
484,"叻",5
485,"叼",5
486,"叽",5
487,"叾",5
488,"囙",5
489,"囚",5
490,"四",5
491,"囜",5
492,"圢",5
493,"圣",5
494,"圤",5
495,"圥",5
496,"圦",5
497,"圧",5
498,"壭",5
499,"夃",5
500,"处",5
501,"外",5
502,"夘",5
503,"央",5
504,"夯",5
505,"夰",5
506,"失",5
507,"夲",5
508,"夳",5
509,"头",5
510,"奴",5
511,"奵",5
512,"奶",5
513,"孕",5
514,"宁",5
515,"宂",5
516,"它",5
517,"宄",5
518,"对",5
519,"尒",5
520,"尓",5
521,"尔",5
522,"尕",5
523,"尻",5
524,"尼",5
525,"屳",5
526,"屴",5
527,"屵",5
528,"屶",5
529,"屷",5
530,"左",5
531,"巧",5
532,"巨",5
533,"巪",5
534,"市",5
535,"布",5
536,"帄",5
537,"帅",5
538,"平",5
539,"幼",5
540,"庀",5
541,"庁",5
542,"庂",5
543,"広",5
544,"廵",5
545,"弁",5
546,"弍",5
547,"弗",5
548,"弘",5
549,"归",5
550,"必",5
551,"忇",5
552,"忉",5
553,"忊",5
554,"戉",5
555,"戊",5
556,"戋",5
